COMM,CODE,SPEC,COMM_FR,STACAC_CODE
PONTINUS,672,PONTINUS SP.,Pontinus sp.,
SYNAGROPS SPINOSA,673,SYNAGROPS SPINOSA,Synagrops spinosa,
PARALEPIS COREGONOIDES,674,PARALEPIS COREGONOIDES,Lussion borÇal,
PUGNOSE PIPEFISH,675,SYNGNATHUS DUNCKERI,Syngnathus dunckeri,
BULL PIPEFISH,676,SYNGNATHUS SPRINGERI,Syngnathe bouledogue,
EPIGONUS DENTICULATUS,677,EPIGONUS DENTICULATUS,Epigonus denticulatus,
BALLYHOO,678,HEMIRAMPHUS BRASILIENSIS,Demi-bec brÇsilien,
VALENCIENNELLUS TRIPUNCTULATUS,679,VALENCIENNELLUS TRIPUNCTULATUS,Valenciennellus tripunctulatus,
STOMIATIFORMES,680,STOMIATIFORMES (ORDER),Stomiatiformes (order),
SCOPELARCHUS ANALIS,681,SCOPELARCHUS ANALIS,Oeil-perlÇ Ö ventre noir,
FOURWING FLYING FISH,682,HIRUNDICHTHYS AFFINIS,Exocet Ö frange blanche,
F.ONEIRODIDAE,683,ONEIRODIDAE F.,Oneirodidae f.,
VINCIGUERRIA NIMBARIA,684,VINCIGUERRIA NIMBARIA,Vinciguerria nimbaria,
TWOSPOT CARDINALFISH,685,APOGON PSEUDOMACULATUS,Apogon pseudomaculatus,
MELAMPHAES SP.,686,MELAMPHAES SP.,Melamphaes sp.,
CERATIOIDEI S.O.,687,CERATIOIDEI S.O.,Ceratioidei s.o.,
LESTIDIOPS JAYAKARI,688,LESTIDIOPS JAYAKARI,Lestidiops jayakari,
CUTLASSFISHES (NS),689,TRICHIURIDAE F.,Ceintures d'argent,
BREGMACEROS SP.,690,BREGMACEROS SP.,Bregmaceros sp.,
SUDIS HYALINA,691,SUDIS HYALINA,Sudis hyalina,
PORCUPINEFISHES (NS),692,DIODONTIDAE F.,Atingas,
LARGESCALE TONGUEFISH,693,SYMPHURUS MINOR,Sole Ö grandes Çcailles,
BATFISHES,694,OGCOCEPHALIDAE F.,Chauve-souris,
SAND PERCH,695,DIPLECTRUM FORMOSUM,Diplectrum formosum,
CYCLOTHONE ACCLINIDENS,696,CYCLOTHONE ACCLINIDENS,Cyclothone acclinidens,
CARDINAL FISHES,697,APOGONIDAE F.,Apogons,
SNOWY GROUPER,698,EPINEPHELUS NIVEATUS,MÇrou,
ATLANTIC WRECKFISH,699,POLYPRION AMERICANUS,Cernier atlantique,
ATLANTIC SILVER HATCHFISH,700,ARGYROPELECUS ACULEATUS,Hache d'argent Ö grandes Çpines,
BUTTERFISH,701,PEPRILUS TRIACANTHUS,StromatÇe Ö fossette,
NORTHERN PIPEFISH,702,SYNGNATHUS FUSCUS,Syngnathe brun,
PELAGIC PIPEFISH,703,SYNGNATHUS PELAGICUS,Syngnathe sargassier,
AMERICAN JOHN DORY,704,ZENOPSIS OCELLATA,ZÇe bouclÇe d'AmÇrique,
ARGYROPELECUS GIGAS,705,ARGYROPELECUS GIGAS,Argyropelecus gigas,
ARGYROPELECUS HEMIGYMNUS,706,ARGYROPELECUS HEMIGYMNUS,Argyropelecus hemigymnus,
ARGYROPELECUS LYCHNUS LYC,707,ARGYROPELECUS LYCHNUS LYCHNUS,Argyropelecus lychnus lychnus,
POLYIPNUS ASTEROIDES,708,POLYIPNUS ASTEROIDES,Dix-bardes Ö Çpines courtes,
TRANSPARENT HATCHETFISH,709,STERNOPTYX DIAPHANA,Hache d'argent diaphane,
LONGNOSE LANCETFISH,710,ALEPISAURUS FEROX,Cavalo fÇroce,
SHORT BARRACUDINA,711,PARALEPIS ATLANTICA,Lussion Ö bec de canard,
WHITE BARRACUDINA,712,NOTOLEPIS RISSOI,Lussion blanc,
BARRACUDINA;UNIDENTIFIED,713,PARALEPIDIDAE F.,Lussions,
SIMONYI'S FROSTFISH,714,BENTHODESMUS SIMONYI,Sabre d'argent,
SEA BASSES,715,SERRANIDAE F.,Bars,
STRAIGHTLINE DRAGONFISH,716,BOROSTOMIAS ANTARCTICUS,Dragon-saumon Ö grands yeux,
TORPEDO DRAGONFISH,717,GRAMMATOSTOMIAS DENTATUS,Dragon-torpille,
BLUENOSE DRAGONFISH,718,MELANOSTOMIAS SPILORHYNCHUS,Dragon Ö nez bleu,
ODONTOSTOMIAS SP.,719,ODONTOSTOMIAS SP.,Odontostomias sp.,
ATLANTIC SAURY;NEEDLEFISH,720,SCOMBERESOX SAURUS,Balaou,
THREELIGHT DRAGONFISH,721,TRIGONOLAMPA MIRICEPS,Dragon trois-lampes,
BATHOPHILUS METALLICUS,722,BATHOPHILUS METALLICUS,Bathophilus metallicus,
RIBBON SAWTAILFISH,723,IDIACANTHUS FASCIOLA,Idiacanthe ruban,
BAIRDS SMOOTHEAD,724,ALEPOCEPHALUS BAIRDII,AlocÇphale multirai,
ATLANTIC GYMNAST,725,XENODERMICHTHYS COPEI,Gymnaste atlantique,
MENTODUS ROSTRATUS,726,MENTODUS ROSTRATUS,Mentodus rostratus,
OMOSUDIS LOWEI,729,OMOSUDIS LOWEI,Poisson Ö licou,
OCEAN SUNFISH,730,MOLA MOLA,Poisson lune,
SHORTNOSE LANCETFISH,731,ALEPISAURUS BREVIROSTRIS,Cavalo ocellÇ,
DAGGERTOOTH,732,ANOTOPTERUS PHARAO,Pharaon,
EVERMANNELLA SP.,733,EVERMANNELLA SP.,Evermannella sp.,
SPOTFIN FLYINGFISH,734,CYPSELURUS FURCATUS,Exocet Ö nageoires tachetÇes,
ATLANTIC FLYINGFISH,735,CYPSELURUS HETERURUS,Cypselurus heterurus,
BLACKWING FLYINGFISH,736,HIRUNDICHTHYS RONDELETTI,Exocet Ö nageoires noire,
COMMON HALFBEAK,737,HYPORHAMPHUS SP.,Hyporhamphus sp.,
BANDED KILLIFISH,738,FUNDULUS DIAPHANUS,Petit barrÇ,
SHORTSPINE TAPIRFISH,739,POLYACANTHONOTUS RISSOANUS,Tapir Ö petites Çpines,
SPINY EEL,740,NOTACANTHUS CHEMNITZII,Tapir Ö grandes Çcailles,
HATCHETFISH,741,STERNOPTYCHIDAE F.,Haches d'argent,
ATLANTIC BATFISH,742,DIBRANCHUS ATLANTICUS,Chauve-souris atlantique,
AMERICAN BARRELFISH,743,HYPEROGLYPHE PERCIFORMIS,Pompile d'AmÇrique,
STOUT BEARD FISH,744,POLYMIXIA NOBILIS,Gros barbudo,
ANGLEMOUTH,745,GONOSTOMATIDAE F. (NS),Cyclothones,
NORTHERN PUFFER,746,SPHOEROIDES MACULATUS,SphÇroãde du nord,
MAHI-MAHI,747,CORYPHAENA HIPPURUS,Dauphin,
FLYING FISH(UNIDENTIFIED),748,EXOCOETIDAE F.,Exocets,
SLICKHEAD,749,CONOCARA SALMONEA,Conocara salmonea,
CARDINALFISH,750,HOWELLA BRODIEI,Howella brodiei,
HIGHFIN SCORPIONFISH,751,PONTINUS RATHBUNI,Pontinus rathbuni,
MAULS ANGLEMOUTH,752,POLLICHTHYS MAULI,Pollichthys mauli,
ALBINO ANGLEMOUTH,753,CYCLOTHONE ALBA,Cyclothone alba,
BRAUERS ANGLEMOUTH,754,CYCLOTHONE BRAUERI,Cyclothone Ö queue tachetÇe,
ANGLEMOUTH (NS),755,CYCLOTHONE SP.,Cyclothones,
DRAGONFISH UNIDENTIFIED,756,STOMIAS SP.,Stomias sp.,
LITTLE MORID,757,PHYSICULUS FULVUS,Physicule fauve,
DOFLEINS LANTERNFISH,758,LOBIANCHIA DOFLEINI,Lobianchia dofleini,
PIPEFISH UNIDEN.,759,SYNGNATHUS SP.,Syngnathus sp.,
MELANOCETUS JOHNSONI,760,MELANOCETUS JOHNSONI,Melanocetus johnsoni,
CHAENOPHRYNE LONGICEPS,761,CHAENOPHRYNE LONGICEPS,Chaenophryne longiceps,
DOLOPICHTHYS ALLECTOR,762,DOLOPICHTHYS ALLECTOR,Dolopichthys allector,
LASIOGNATHUS BEEBEI,763,LASIOGNATHUS BEEBEI,Lasiognathus beebei,
LEPTACANTHICHTHYS GRACILI,764,LEPTACANTHICHTHYS GRACILISPINIS,Leptacanthichthys gracilispinis,
LOPHODOLUS ACANTHOGNATUS,765,LOPHODOLUS ACANTHOGNATHUS,Lophodolus acanthognathus,
MICROLOPHICHTHYS MICROLOP,766,MICROLOPHICHTHYS MICROLOPHUS,Microlophichthys microlophus,
ONEIRODES ESCHRICHTII,767,ONEIRODES ESCHRICHTII,Oneirodes eschrichtii,
ONEIRODES SP.,768,ONEIRODES SP.,Oneirodes sp.,
MUMMICHOG,769,FUNDULUS HETEROCLITUS,Choquemort,
ATLANTIC SILVERSIDE,770,MENIDIA MENIDIA,Capucette,
BEARDFISH,771,POLYMIXIA LOWEI,Barbudo des caraibes,
SPINYFIN,772,DIRETMUS ARGENTEUS,Rayon Çpineux,
GEPHYROBERYX DARWINI,773,GEPHYROBERYX DARWINI,Gephyroberyx darwini,
OGREFISH,774,ANOPLOGASTER CORNUTA,Anoplogaster cornuta,
ALFONSIN A CASTA LARGA,775,BERYX DECADACTYLUS,BÇryx commun,
ALFONSIN A CASTA,776,BERYX SPLENDENS,Alfonsin long,
THORNY TINSELFISH,777,GRAMMICOLEPIS BRACHIUSCULUS,Pallissade Ö Çpines plates,
OPAH,778,LAMPRIS GUTTATUS,Opah,
LINED SEAHORSE,779,HIPPOCAMPUS ERECTUS,Hyppocampe mouchetÇ,
BLUESPOTTED CORNETFISH,780,FISTULARIA TABACARIA,Fistulaire tabac,
FLUMEFISH,781,APOGON MACULATUS,Apogon maculatus,
APOGON SELLICAUDE,782,APOGON SELLICAUDE,Apogon sellicaude,
SHERBORNS CARDINALFISH,783,HOWELLA SHERBORNI,Apogon de Sherborn,
BLACK SCABBARDFISH,784,APHANOPUS CARBO,Aphanope charbon,
SILVER-RAG,785,ARIOMMA BONDI,Ariomma bondi,
CORNISH BLACKFISH,786,SCHEDOPHILUS MEDUSOPHAGUS,Pompile brun,
BLACK RUFF,787,CENTROLOPHUS NIGER,Pompile noir,
MAN-OF-WAR FISH,788,NOMEUS GRONOVII,Physalier,
SILVER DRIFTFISH,789,PSENES MACULATUS,Psäne maculÇe,
BIGEYE SQUARETAIL,790,TETRAGONURUS ATLANTICUS,Tetragonure gris,
SMALLEYE SQUARETAIL,791,TETRAGONURUS CUVIERI,Tetragonurus cuvieri,
OCEANIC PUFFER,792,LAGOCEPHALUS LAGOCEPHALUS,Orbe ÇtoilÇ,
STRIPED BURRFISH,793,CHILOMYCTERUS SCHOEPFI,Atinga bariolÇ,
TRUNKFISH,794,LACTOPHRYS TRIGONUS,Coffre tubercule,
BEANS BLUEBACK,795,SCOPELOGADUS BEANII,Poisson-heaume Ö nez carrÇ,
SCOPELOBERYX OPISTHOPTERU,796,SCOPELOBERYX OPISTHOPTERUS,Scopeloberyx opisthopterus,
POROMITRA MEGALOPS,797,POROMITRA MEGALOPS,Poromitra megalops,
MELAMPHAES MICROPS,798,MELAMPHAES MICROPS,Melamphaes microps,
POROMITRA CAPITO,799,POROMITRA CAPITO,Poromitra capito,
POROMITRA CRASSICEPS,800,POROMITRA CRASSICEPS,Poromitra crassiceps,
SNAKEFISH,801,TRACHINOCEPHALUS MYOPS,Poisson-lÇzard paille,
BERYCOID FISH,802,BERYCIFORMES O.,Barbudos,
COBIA,803,RACHYCENTRON CANADUM,Cobia,
GOBIES;UNIDENTIFIED,804,GOBIIDAE F.,Gobiidae f.,
TONGUEFISH,805,SYMPHURUS SP.,Symphurus sp.,
FLYING GURNARD,806,DACTYLOPTERUS VOLITANS,Dactyloptäre,
SHORTJAW LIZARDFISH,807,SAURIDA NORMANI,Saurida normani,
RED LIZARDFISH,808,SYNODUS SYNODUS,Synodus synodus,
SMOOTH TRUNKFISH,809,LACTOPHRYS TRIQUETER,Coffre lisse,
PIPEHORSE,810,AMPHELIKTURUS DENDRITICUS,Amphelikturus dendriticus,
MYCTOPHIFORMES,811,MYCTOPHIFORMES O.,Poissons de profondeur,
SYNODUS SP.,812,SYNODUS SP.,Synodus sp.,
ARIOMMA SP.,813,ARIOMMA SP.,Ariomma sp.,
BATHYSAURUS FEROX,814,BATHYSAURUS FEROX,Bathysaurus ferox,
EUTAENIOPHORUS SP.,815,EUTAENIOPHORUS SP.,Eutaeniophorus sp.,
TONGUE FISH,816,SYMPHURUS DIOMEDEANUS,Symphurus pterospilotus,
LEPTOSTOMIAS SP.,817,LEPTOSTOMIAS SP.,Leptostomias sp.,
ARISTOSTOMIAS TITTMANNI,818,ARISTOSTOMIAS TITTMANNI,Aristostomias tittmanni,
LOOSEJAWS (NS),819,MALACOSTEIDAE F.,Dragues,
CUBICEPS PAUCIRADIATUS,820,CUBICEPS PAUCIRADIATUS,Pompile paucirayonnÇ,
DRIFTFISHES,821,NOMEIDAE F.,Nomeidae f.,
PSENES PELLUCIDUS,822,PSENES PELLUCIDUS,Pompile Ö nageoires bleues,
SARGOCENTRON BULLISI,823,SARGOCENTRON BULLISI,Sargocentron bullisi,
BENTHODESMUS TENUIS,824,BENTHODESMUS TENUIS,Sabre d'argent Ö petits yeux,
STOMIAS AFFINIS,825,STOMIAS AFFINIS,Stomias affinis,
OCEAN TRIGGERFISH,826,CANTHIDERMIS SUFFLAMEN,Poissons-lime,
PUFFER,827,SPHOEROIDES SP.,Sphoeroides sp.,
ROUGHTONGUE BASS,828,HOLANTHIAS MARTINICENSIS,Holanthias martinicensis,
MARGINTAIL CONGER,829,PARACONGER CAUDILIMBATUS,Paraconger caudilimbatus,
WAHOO,830,ACANTHOCYBIUM SOLANDRI,Acanthocybium solanderi,
BREGMACEROS MACCLELLANDI,831,BREGMACEROS MACCLELLANDI,Bregmaceros macclellandi,
SAURIDA CARRIBBEA,832,SAURIDA CARRIBBEA,Saurida carribbea,
LIZARDFISH;LARGESCALE,833,SAURIDA BRASILIENSIS,Sauride Ö grandes Çcailles,
ETRUMEUS SADINA,834,ETRUMEUS SADINA,Etrumeus sadina,
BLACK MARLIN,835,MAKAIRA INDICA,Makaira indica,
ANCHOA LAMPROTAENIA,836,ANCHOA LAMPROTAENIA,Anchoa lamprotaenia,
ALBULA SP.,837,ALBULA SP.,Albula sp.,
GORDIICHTHYS LEIBYI,838,GORDIICHTHYS LEIBYI,Gordiichthys leibyi,
LETHARCHUS ALICULATUS,839,LETHARCHUS ALICULATUS,Letharchus aliculatus,
LONGBILL SPEARFISH,840,TETRAPTURUS PFLUEGERI,Tetrapturus pfluegeri,
LAMPETRA JAPONICA,841,LAMPETRA JAPONICA,Lampetra japonica,
LAMPETRA LAMOTTEI,842,LAMPETRA LAMOTTEI,Lampetra lamottei,
DWARF HERRING,843,JENKINSIA LAMPROTAENIA,Jenkinsia lamprotaenia,
BATFISH;SPINY,844,HALIEUTICHTHYS ACULEATUS,Chauve-souris Çpineuse,
EELPOUT (NS),845,LYCODES EUDIPLEUROSTICTUS,,
BLACKFIN TUNA,846,THUNNUS ATLANTICUS,,
EUSTOMIAS BRAUERI,847,EUSTOMIAS BRAUERI,,
EUSTOMIAS LONGIBARBA,848,EUSTOMIAS LONGIBARBA,,
EUSTOMIAS SILVESCENS,849,EUSTOMIAS SILVESCENS,,
SCOPELOSAURUS MAULI,850,SCOPELOSAURUS MAULI,Scopelosaurus mauli,
CARASSIUS AURATUS,851,CARASSIUS AURATUS,Carassius auratus,
CHROSOMUS EOS,852,CHROSOMUS EOS,Chrosomus eos,
CHROSOMUS NEOGAEUS,853,CHROSOMUS NEOGAEUS,Chrosomus neogaeus,
CHUB;LAKE,854,COUESIUS PLUMBEUS,MÇnÇ de lac,
MICRODESMIDAE F.,855,MICRODESMIDAE F.,Microdesmidae f.,
NOTEMIGOMUS CRYSOLEUCAS,856,NOTEMIGOMUS CRYSOLEUCAS,Notemigomus crysoleucas,
EUSTOMIAS SIMPLEX,857,EUSTOMIAS SIMPLEX,,
PACHYSTOMIAS MICRODON,858,PACHYSTOMIAS MICRODON,,
MELANOSTOMIAS SP.,859,MELANOSTOMIAS SP.,,
BOLINICHTHYS SP.,860,BOLINICHTHYS SP.,Bolinichthys sp.,
HYGOPHUM SP.,861,HYGOPHUM SP.,Hygophum sp.,
DICROLENE INTRONIGER,862,DICROLENE INTRONIGER,Dicrolene intronigra,
BATHYPTEROIS QUADRIFILIS,863,BATHYPTEROIS QUADRIFILIS,Cran-tactile losange,
LYCODES ATLANTICUS,864,LYCODES ATLANTICUS,,
ALDROVANDIA PHALACRA,865,ALDROVANDIA PHALACRA,Aldrovandia phalacra,
XENOLEPIDICHTHYS DALGLEISHI,866,XENOLEPIDICHTHYS DALGLEISHI,Xenolepidichthys dalgleishi,
GIGANTACTIS VANHOEFFENI,867,GIGANTACTIS VANHOEFFENI,Gigantactis vanhoeffeni,
SEASNAIL,868,PARALIPARIS CALIDUS,Limace ardente,
SEASNAIL,869,PARALIPARIS GARMANI,Paraliparis garmani,
MONOMITOPUS AGASSIZI,870,MONOMITOPUS AGASSIZI,Monomitopus agassizi,
SCOPELOGADUS MIZOLEPIS,871,SCOPELOGADUS MIZOLEPIS,Scopelogadus mizolepis,
MELANOSTOMIAS MELANOPOGON,872,MELANOSTOMIAS MELANOPOGON,Melanostomias melanopogon,
RYPTICUS SP.,873,RYPTICUS SP.,Rypticus sp.,
LEPTOSTOMIAS GLADIATOR,874,LEPTOSTOMIAS GLADIATOR,Leptostomias gladiator,
ASTRONESTHES GEMMIFER,875,ASTRONESTHES GEMMIFER,Astronesthes gemmifer,
STEMONOSUDIS INTERMEDIA,876,STEMONOSUDIS INTERMEDIA,Stemonosudis intermedia,
LONGNOSE ESCOLAR,877,NESIARCHUS NASUTUS,Menton-pointu,
EPIGONUS SP.,878,EPIGONUS SP.,Epigonus sp.,
GROUPER;RED,879,EPINEPHELUS MORIO,MÇrou negre,
HOOKEAR SCULPIN;ATL.,880,ARTEDIELLUS ATLANTICUS,Hameáon atlantique,
MYCTOPHUM OBTUSIROSTRE,881,MYCTOPHUM OBTUSIROSTRE,,
LAMPANYCTUS CUPRARIUS,882,LAMPANYCTUS CUPRARIUS,,
GONOSTOMA BATHYPHILUM,883,GONOSTOMA BATHYPHILUM,,
NEONESTHES CAPERSIS,884,NEONESTHES CAPERSIS,,
RHADINESTHES DECIMUS,885,RHADINESTHES DECIMUS,,
ZU CRISTATUS,886,ZU CRISTATUS,,
CHIASMODON BOLANGERI,887,CHIASMODON BOLANGERI,,
EPIGONUS TELESCOPUS,888,EPIGONUS TELESCOPUS,,
SEARSIA KOEFOEDI,889,SEARSIA KOEFOEDI,,
AMIA CALVA,890,AMIA CALVA,Amia calva,
LAMPRIFORMES,891,LAMPRIFORMES,,
RIBBONFISHES (NS),892,TRACHIPTERIDAE,,
TRACHIPTEROIDEI,893,TRACHIPTEROIDEI,,
STERNOPTYX PSEUDOBSCURA,894,STERNOPTYX PSEUDOBSCURA,,
PHOTOSTYLUS PYCNOPTERUS,895,PHOTOSTYLUS PYCNOPTERUS,,
EINARA EDENTULA,896,EINARA EDENTULA,,
SYNAGROPS SP.,897,SYNAGROPS SP.,,
TARACTES ASPER,898,TARACTES ASPER,,
EPINEPHELUS SP.,899,EPINEPHELUS SP.,,
SEALS (NS),900,PHOCIDAE F.,Phoques,
ECTREPOSEBASTES IMUS,901,ECTREPOSEBASTES IMUS,,
LINOPHRYNIDAE,902,LINOPHRYNIDAE,,
LINOPHRYNE BREVIBARBIS,903,LINOPHRYNE BREVIBARBIS,,
EDRIOLYCHNUS SCHMIDTI,904,EDRIOLYCHNUS SCHMIDTI,,
LINOPHRYNE MACRODON,905,LINOPHRYNE MACRODON,,
UNCISUDIS LONGIROSTRIS,906,UNCISUDIS LONGIROSTRIS,,
PARALEPIS BREVIROSTRIS,907,PARALEPIS BREVIROSTRIS,,
ASTRONESTHES MICROPOGON,908,ASTRONESTHES MICROPOGON,,
CHIASMODON SP.,909,CHIASMODON SP.,,
ODOBENIDAE F.,910,ODOBENIDAE F.,Morses,
TRACHIPTERUS TRACHIPTERUS,911,TRACHIPTERUS TRACHIPTERUS,,
ARGYROPELECUS SLADENI,912,ARGYROPELECUS SLADENI,,
AVOCETTINA INFANS,913,AVOCETTINA INFANS,,
HOLTBYRNIA ANOMALA,914,HOLTBYRNIA ANOMALA,,
NORMICHTHYS OPEROSUS,915,NORMICHTHYS OPEROSUS,,
BATHOPHILUS CHIRONEMA,916,BATHOPHILUS CHIRONEMA,,
MELAMPHAES LEPRUS,917,MELAMPHAES LEPRUS,,
BATHOPHILUS LONGIPINNIS,918,BATHOPHILUS LONGIPINNIS,,
SCOPELOBERYX NIGRESCENS,919,SCOPELOBERYX NIGRESCENS,,
WHALES (NS),920,ODONTOCEIT S.O.(WHALES),Mistycätes (baleines Ö fanons),
ATLANTIC PILOT WHALE,921,GLOBICEPHALA MELAENA,GlobicÇphale noir de l'atlantique,
NORTH-BOTTLENOSE WHALE,922,HYPEROODON AMPULLATUS,Baleine Ö bec commune,
LEPTOSTOMIAS LONGIBARBA,923,LEPTOSTOMIAS LONGIBARBA,,
SEA TADPOLE,924,CAREPROCTUS RANULA,,
MELANOSTOMIAS BARTONBEANI,925,MELANOSTOMIAS BARTONBEANI,,
SCOMBROLABRAX HETEROLEPIS,926,SCOMBROLABRAX HETEROLEPIS,,
SNAKE MACKEREL,927,GEMPYLUS SERPENS,,
ARGYROPELECUS SP.,928,ARGYROPELECUS SP.,,
GONOSTOMA ATLANTICUM,929,GONOSTOMA ATLANTICUM,,
DOLPHINS (NS),930,ODONTOCEIT S.O.(DOLPHINS),Odontocätes (baleines Ö dents),
ATL BOTTLENOSED DOLPHIN,931,TURSIOPS TRUNCATUS,Dauphin Ö gros nez,
WHITE BEAKED DOLPHIN,932,LAGENORHYNCHUS ALBIROSTRIS,Dauphin Ö nez blanc,
ATL WHITE-SIDED DOLPHIN,933,LAGENORHYNCHUS ACUTUS,Dauphin Ö flancs blancs,
PHOTOSTOMIAS SP.,934,PHOTOSTOMIAS SP.,,
DIPLOPHOS MADERENSIS,935,DIPLOPHOS MADERENSIS,,
CHAENOPHRYNE DRACO,936,CHAENOPHRYNE DRACO,,
MACROPARALEPIS NIGRA,937,MACROPARALEPIS NIGRA,,
EVOXYMETOPON TAENIATUS,938,EVOXYMETOPON TAENIATUS,,
LAMPADENA ANOMALA,939,LAMPADENA ANOMALA,,
BEARDED BROTULA,940,BROTULA BARBATA,Brotula barbata,
GRAMMATOSTOMIAS FLAGELLIBARBA,941,GRAMMATOSTOMIAS FLAGELLIBARBA,,
POLYMETME CORYTHAEOLA,942,POLYMETME CORYTHAEOLA,,
MELANOSTOMIAS VALDIVIAE,943,MELANOSTOMIAS VALDIVIAE,,
PERMIT,944,TRACHINOTUS FALCATUS,,
PHORONIDAE,945,PHORONIDAE,,
BLENNIES (NS),946,LUMPENUS  SP.,,
APRISTURUS LAURUSSONI,947,APRISTURUS LAURUSSONI,,
DRAGONFISH;SCALED (NS),948,ASTRONESTHES  SP.(RICHARDSONI?),,
DRAGONFISH;BIGHEAD (NS),949,BOROSTOMIAS  SP.,,
POLKA-DOT CUSK-EEL,950,OTOPHIDIUM OMOSTIGMUM,Otophidium omostigmum,
RUFFS (NS),951,STROMATEOIDEI (SUBORDER),,
BROTULIDS (NS),952,BROTULINAE,,
CARAPID SP.,953,CARAPID SP.,,
ANGLEMOUTH (NS),954,GONOSTOMA DENUDATUM,,
MELANOCETUS MURRAYI,955,MELANOCETUS MURRAYI,,
MELANOSTOMIAS MELANOPS,956,MELANOSTOMIAS MELANOPS,,
PHOTONECTES BRAUERI,957,PHOTONECTES BRAUERI,,
TARACTES SP.,958,TARACTES SP.,,
ULTIMOSTOMIAS MIRABILIS,959,ULTIMOSTOMIAS MIRABILIS,,
CARANX SP.,960,CARANX SP.,Caranx sp.,
TUBE SHOUDERS,961,SEARSIID SP.,,
DANAPHRYNE NIGRIFILIS,962,DANAPHRYNE NIGRIFILIS,,
SMOOTHHEAD,963,ROULEINA MADERENSIS,,
EUSTOMIAS POLYASTER,964,EUSTOMIAS POLYASTER,,
BALCKTIP SHARK,965,CARCHARHINUS LIMBATUS,Carcharhinus limbatus,
DRAGONFISHES;BIGHEAD,966,ASTRONESTHIDAE,,
SKATE;ROSETTE,967,RAJA GARMANI,,
SMOOTHHEADS (NS),968,ALEPOCEPHALIDAE,,
FRECKLED SKATE,969,RAJA LENTIGINOSA,,
EUSTOMIAS SP.,970,EUSTOMIAS SP.,,
SWALLOWERS (NS),971,CHIASMODONTIDAE,,
LEPOPHIDIUM SP.,972,LEPOPHIDIUM SP.,,
EUSTOMIAS ACINOSUS,973,EUSTOMIAS ACINOSUS,,
MELAMPHAES EULEPIS,974,MELAMPHAES EULEPIS,,
MELAMPHAES LONGIVELIS,975,MELAMPHAES LONGIVELIS,,
MELAMPHAES POLYLEPIS,976,MELAMPHAES POLYLEPIS,,
LAMPANYCTUS TENUIFORMIS,977,LAMPANYCTUS TENUIFORMIS,,
LEPTOSTOMIAS HAPLOCAVLUS,978,LEPTOSTOMIAS HAPLOCAVLUS,,
ALEPOCEPHALUS SP.,979,ALEPOCEPHALUS SP.,,
SALMON;TROUTS;ETC.,980,SALMONIDAE F.,,
BREVIRAJA MARKLEI,981,BREVIRAJA MARKLEI,,
OX-EYE SCAD,982,SELAR BOOPS,,
APRISTURUS SP.,983,APRISTURUS SP.,,
THYSANACTIS DENTEX,984,THYSANACTIS DENTEX,,
ARISTOSTOMIAS GRIMALDI,985,ARISTOSTOMIAS GRIMALDI,,
ASTRONESTHES CYCLOPHOTUS,986,ASTRONESTHES CYCLOPHOTUS,,
MELANOSTOMIAS TENTACULATUS,987,MELANOSTOMIAS TENTACULATUS,,
EUSTOMIAS MACRONEMA,988,EUSTOMIAS MACRONEMA,,
GONIOPLECTRUS SP.,989,GONIOPLECTRUS SP.,,
SYNODONTIS SP.,990,SYNODONTIS SP.,,
BATHOPHILUS DIGITATUS,991,BATHOPHILUS DIGITATUS,,
MELAMPHAES SIMUS,992,MELAMPHAES SIMUS,,
DYSALOTUS ALCOCKI,993,DYSALOTUS ALCOCKI,,
TRACHURUS SP.,994,TRACHURUS SP.,,
BRAMIDAE,995,BRAMIDAE,,
ONEIRODES EPITHALES,996,ONEIRODES EPITHALES,,
ANGLER,997,PHYLLORHINICHTHYS MICRACTIS,,
ARMOURED GRENADIER,998,NEMATONURUS ARMATUS,,
BIGNOSE SHARK,1000,CARCHARHINUS ALTIMUS,,
GREAT HAMMERHEAD SHARK,1001,SPHYRNA MOKARRAN,,
BIGEYE THRESHER SHARK,1002,ALOPIAS SUPERCILIOSUS,,
NIGHT SHARK,1003,CARCHARHINUS SIGNATUS,,
TIGER SHARK,1004,GALEOCERDO CUVIER,,
LONGFIN MAKO,1005,ISURUS PAUCUS,,
ORANGE ROUGHY,1006,HOPLOSTEHUS ATLANTICUS,,
BATHYRAJA SP,1007,BATHYRAJA SP,,
ALEPOCEPHALUS AUSTRALIS,1008,ALEPOCEPHALUS AUSTRALIS,,
HALOSAURIDAE,1009,HALOSAURIDAE,,
HALOSAURUS GUENTHERI,1010,HALOSAURUS GUENTHERI,,
ALDROVANDIA OLEOSA,1011,ALDROVANDIA OLEOSA,,
BASSOGIGAS GILLI,1012,BASSOGIGAS GILLI,,
NEZUMIA SP.,1013,NEZUMIA SP.,,
NEZUMIA LONGEBARBATA,1014,NEZUMIA LONGEBARBATA,,
NEZUMIA SCLERORHYNCHUS,1015,NEZUMIA SCLERORHYNCHUS,,
RHODICHTHYS SPP.,1016,RHODICHTHYS SPP.,,
ROULEINA ATTRITA,1017,ROULEINA ATTRITA,,
CUSK EEL,1018,SPECTRUNCULUS GRANDIS,,
ILYOPHIS BRUNNEUS,1019,ILYOPHIS BRUNNEUS,,
ATLANTIC ANGEL SHARK,1020,SQUATINA DUMERILI,,
